idx,device,sample,total_mem (pc),total_mem (orin),total_mem (pi),mem_increment (pc),mem_increment (orin),mem_increment (pi)
169,9,9,20.1,17.1,12.1,0.1,0.0,0.3
170,9,10,20.1,16.9,12.2,0.0,0.0,0.3
171,9,11,20.4,16.9,12.1,0.1,0.0,0.3
172,9,12,20.1,16.7,12.1,0.0,0.0,0.3
173,9,13,20.2,16.9,12.2,0.1,0.0,0.3
174,9,14,20.1,16.9,12.1,0.0,0.0,0.3
175,9,15,20.1,17.0,12.2,0.0,0.0,0.3
176,9,16,20.1,16.8,12.2,0.0,0.0,0.3
177,9,17,20.2,16.9,12.2,0.0,0.0,0.3
178,9,18,20.2,16.9,12.2,0.2,0.0,0.3
179,9,19,20.1,16.7,12.1,0.0,0.0,0.3
180,9,20,20.4,17.0,12.2,0.0,0.0,0.3
181,10,1,20.0,16.9,12.2,0.0,0.0,0.2
182,10,2,20.1,16.7,12.1,0.0,0.0,0.2
183,10,3,20.0,17.1,12.1,0.0,0.0,0.2
184,10,4,20.1,16.7,12.1,0.0,0.0,0.2
185,10,5,20.1,17.1,12.1,0.0,0.0,0.2
186,10,6,20.1,16.9,12.2,0.0,0.0,0.2
