idx,device,sample,cpu_line (pc),cpu_line (orin),cpu_line (pi)
423,24,3,2361565200.0,8924238381.0,30000000000.0
424,24,4,2355258289.0,9048441962.0,30000000000.0
425,24,5,2357984787.0,9038991515.0,30000000000.0
426,24,6,2375050347.0,8950693643.0,30000000000.0
427,24,7,3168452935.0,8975909997.0,30000000000.0
428,24,8,2363903301.0,8975825011.0,30000000000.0
429,24,9,2385786579.0,9057840357.0,30000000000.0
430,24,10,2474443179.0,8909259384.0,30000000000.0
431,24,11,2368406634.0,8914698524.0,30000000000.0
432,24,12,2346690155.0,9050652292.0,30000000000.0
433,24,13,2359320270.0,8879325037.0,30000000000.0
434,24,14,2368632154.0,8959962954.0,30000000000.0
435,24,15,2376296389.0,8934050057.0,30000000000.0
436,24,16,2373393855.0,8999239868.0,30000000000.0
437,24,17,2359858094.0,9022882155.0,30000000000.0
438,24,18,2366625013.0,8951229994.0,30000000000.0
439,24,19,2357950230.0,9036254514.0,30000000000.0
440,24,20,2370098295.0,9010241855.0,30000000000.0
441,25,1,2378926885.0,8880925599.0,30000000000.0
442,25,2,2366924170.0,8927626732.0,30000000000.0
443,25,3,2352905653.0,9003118326.0,30000000000.0
444,25,4,2372062692.0,8941878401.0,30000000000.0
445,25,5,2389630881.0,8949951197.0,30000000000.0
446,25,6,2365368740.0,8928417868.0,30000000000.0
447,25,7,2365556635.0,8986040966.0,30000000000.0
448,25,8,2345381545.0,9035907445.0,30000000000.0
449,25,9,2382837234.0,8925361111.0,30000000000.0
450,25,10,2383373977.0,9005257861.0,30000000000.0
451,25,11,2366772660.0,8941764562.0,30000000000.0
452,25,12,2372376551.0,9117433541.0,30000000000.0
453,25,13,2353844197.0,9030074379.0,30000000000.0
454,25,14,2374468704.0,8958674734.0,30000000000.0
455,25,15,2370888897.0,9044420184.0,30000000000.0
456,25,16,2373488584.0,9004792687.0,30000000000.0
457,25,17,2362259501.0,9046103009.0,30000000000.0
458,25,18,2379465862.0,9001414565.0,30000000000.0
459,25,19,2389812856.0,9045042304.0,30000000000.0
460,25,20,2376882898.0,9017455068.0,30000000000.0
461,26,1,2376036548.0,8988395038.0,30000000000.0
462,26,2,2367037064.0,8976068889.0,30000000000.0
463,26,3,2372402781.0,9047226701.0,30000000000.0
464,26,4,2377170726.0,9072658533.0,30000000000.0
465,26,5,2343578834.0,8925160974.0,30000000000.0
466,27,1,2372479804.0,9008522926.0,30000000000.0
467,27,2,2388709587.0,9047458403.0,30000000000.0
468,27,3,2367968452.0,8918804079.0,30000000000.0
469,27,4,2382793143.0,8967177992.0,30000000000.0
470,27,5,2395231702.0,9007715446.0,30000000000.0
471,27,6,2386516810.0,9085739711.0,30000000000.0
472,27,7,2368098804.0,8954208164.0,30000000000.0
473,27,8,2374892244.0,8971042662.0,30000000000.0
474,27,9,2365687405.0,8978715948.0,30000000000.0
475,27,10,2394192364.0,8904713762.0,30000000000.0
476,27,11,2388071894.0,8955283607.0,30000000000.0
477,27,12,2379412245.0,9009050687.0,30000000000.0
478,27,13,2374398948.0,9095807615.0,30000000000.0
479,27,14,2395354699.0,8985735335.0,30000000000.0
480,27,15,2363986799.0,8937087965.0,30000000000.0
481,27,16,2367238606.0,8962028687.0,30000000000.0
482,27,17,2371744449.0,8956221471.0,30000000000.0
483,27,18,2381579904.0,8996477584.0,30000000000.0
484,27,19,2382532535.0,8993730185.0,30000000000.0
485,27,20,2377840393.0,9009926551.0,30000000000.0
486,28,1,2364470737.0,9051557463.0,30000000000.0
487,28,2,2363793407.0,8988778178.0,30000000000.0
488,28,3,2370456313.0,9000948956.0,30000000000.0
489,28,4,2377827630.0,8902997756.0,30000000000.0
490,28,5,2365487899.0,8958349458.0,30000000000.0
491,28,6,2379510464.0,9040418920.0,30000000000.0
492,28,7,2366459091.0,8981009716.0,30000000000.0
493,28,8,2364800986.0,8997053861.0,30000000000.0
494,28,9,2369360969.0,8977616585.0,30000000000.0
495,28,10,2378941120.0,8981347910.0,30000000000.0
496,28,11,2369362957.0,9000114203.0,30000000000.0
497,28,12,2368718733.0,9032977611.0,30000000000.0
498,28,13,2351029829.0,8961853204.0,30000000000.0
499,28,14,2354758296.0,8975534194.0,30000000000.0
500,28,15,2364719196.0,8952783065.0,30000000000.0
501,28,16,2377059877.0,9004020306.0,30000000000.0
502,28,17,2360021416.0,8971928736.0,30000000000.0
503,28,18,2363749495.0,8984625357.0,30000000000.0
504,28,19,2370597464.0,8900976437.0,30000000000.0
505,28,20,2333447958.0,8952062528.0,30000000000.0
506,29,1,2362073021.0,8735776728.0,30000000000.0
507,29,2,2367585631.0,9038928555.0,30000000000.0
508,29,3,2378805093.0,8916351766.0,30000000000.0
509,29,4,2358232852.0,8945282195.0,30000000000.0
510,29,5,2408770762.0,8980701297.0,30000000000.0
