,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,idx,no_of_layers,l1,l2,l3,activation,solver,learning_rate,alpha,warm_start,precision,recall,f1,training time (ms),inference time (ms)
137,137,1,50,0,0,tanh,adam,invscaling,0.001,True,0.9650310092951971,0.96375,0.9637115226469551,38209.470703125,37.470703125
138,138,1,50,0,0,tanh,adam,invscaling,0.001,False,0.9623945226618226,0.96125,0.9611513997389012,38194.28466796875,37.425048828125
139,139,1,50,0,0,tanh,adam,constant,0.0001,True,0.9598287121666457,0.95875,0.9586258982196415,38193.5859375,37.388427734375
140,140,1,50,0,0,tanh,adam,constant,0.0001,False,0.9637922303661106,0.9625,0.9623362252246078,38117.219482421875,37.48095703125
141,141,1,50,0,0,tanh,adam,adaptive,0.0001,True,0.964305133812515,0.96375,0.9636165960277053,38148.330078125,37.518798828125
142,142,1,50,0,0,tanh,adam,adaptive,0.0001,False,0.9612466064247194,0.96,0.959847923057836,38155.680419921875,37.74853515625
143,143,1,50,0,0,tanh,adam,invscaling,0.0001,True,0.964640941554583,0.96375,0.9636221182943437,38118.539794921875,37.513427734375
144,144,1,50,0,0,tanh,adam,invscaling,0.0001,False,0.9604065385257359,0.95875,0.9587616291968541,38138.6875,37.354248046875
145,145,1,50,0,0,tanh,lbfgs,constant,0.01,True,0.9629586491316647,0.9625,0.9624378349168681,18280.3408203125,36.668701171875
146,146,1,50,0,0,tanh,lbfgs,constant,0.01,False,0.9668592664686717,0.96625,0.9662695548209186,15689.8251953125,36.61376953125
147,147,1,50,0,0,tanh,lbfgs,adaptive,0.01,True,0.9620075493035759,0.96125,0.9612119147379857,25135.88330078125,36.6728515625
148,148,1,50,0,0,tanh,lbfgs,adaptive,0.01,False,0.9584329882147595,0.9575,0.957446152136961,20132.864501953125,36.722900390625
149,149,1,50,0,0,tanh,lbfgs,invscaling,0.01,True,0.9681399903397395,0.9675,0.9674139028463722,26769.43359375,37.113037109375
150,150,1,50,0,0,tanh,lbfgs,invscaling,0.01,False,0.9632227426980688,0.9625,0.9623481203651282,25309.582763671875,36.810302734375
151,151,1,50,0,0,tanh,lbfgs,constant,0.001,True,0.9704466960083135,0.97,0.9700556555359993,18144.20263671875,33.60888671875
152,152,1,50,0,0,tanh,lbfgs,constant,0.001,False,0.9693334535414797,0.96875,0.9685783744766545,14918.326904296875,34.57568359375
153,153,1,50,0,0,tanh,lbfgs,adaptive,0.001,True,0.9674528612340582,0.96625,0.9663137702920701,12984.213134765625,34.740234375
154,154,1,50,0,0,tanh,lbfgs,adaptive,0.001,False,0.9592712593932105,0.95875,0.9586773526387091,15088.361328125,34.711669921875
