idx,train(cpu_line)(nano sec),test(cpu_line)(nano sec),train(mem)(MiB),test(mem)(MiB),total_addr_space(mem)(MiB)
412,6508711613.0,4185408.0,12.7,0.0,161.6
413,6499369583.0,4131807.0,10.5,0.0,152.9
414,6614647232.0,4038143.0,10.5,0.0,156.4
415,3980354812.0,4007327.0,26.9,0.0,174.2
416,3992246684.0,3974719.0,25.3,0.0,169.3
417,3901637674.0,3989310.0,25.0,0.0,170.4
418,3976369861.0,3969662.0,23.1,0.0,174.9
419,4026375759.0,4051167.0,29.2,0.0,172.1
420,3797271419.0,4031039.0,45.1,0.0,186.1
421,3962897504.0,3969310.0,30.6,0.0,174.7
422,3364989922.0,4107870.0,30.5,0.0,175.7
423,3872423491.0,4103518.0,31.0,0.0,176.8
424,3143858331.0,4085982.0,44.8,0.0,186.9
425,3736233765.0,4059677.0,21.5,0.0,167.1
426,3969482157.0,3992894.0,19.9,0.0,165.4
427,3982067098.0,4144925.0,25.4,0.0,176.4
428,3700019556.0,3980253.0,20.7,0.0,170.8
429,3930651447.0,4061962.0,44.8,0.0,185.7
430,3508870519.0,4087146.0,19.3,0.0,166.1
431,3368377578.0,4291113.0,21.1,0.0,163.3
432,3823946616.0,4232747.0,21.5,0.0,174.5
433,6025626242.0,5834148.0,10.5,0.0,158.3
434,5994922364.0,6070340.0,18.5,0.0,163.5
435,6042359555.0,5777607.0,10.4,0.0,163.3
436,6059945827.0,5738473.0,10.4,0.0,156.5
437,6019873652.0,5858378.0,14.4,0.6,160.3
438,6012938543.0,5807146.0,8.4,0.7,156.9
439,6034424474.0,5718251.0,10.3,0.8,153.5
440,6091940882.0,5758956.0,10.2,0.8,158.7
441,5995887957.0,5809581.0,12.4,0.7,157.9
442,6002973598.0,5809741.0,36.5,0.0,181.3
443,6086672168.0,5660015.0,20.5,16.0,183.8
444,6036749055.0,5803695.0,10.5,18.0,169.8
445,6103449169.0,5742640.0,18.5,0.0,168.0
446,6011695445.0,5757905.0,16.5,0.0,160.5
447,6011148267.0,6780622.0,10.5,0.0,158.0
448,6054318928.0,5700882.0,12.4,0.9,158.5
449,6041762212.0,5836753.0,16.4,0.7,163.5
450,5983782205.0,5839794.0,10.4,0.8,157.9
451,6982717941.0,5781619.0,10.5,0.0,160.0
452,7033149963.0,5792563.0,18.5,0.0,166.4
453,7035315918.0,5767251.0,10.5,0.6,158.5
