idx,no_of_layers,l1,l2,l3,activation,solver,learning_rate,alpha,warm_start,precision,recall,f1,training time (ms),inference time (ms),train(cpu_line)(nano sec),test(cpu_line)(nano sec),train(mem)(MiB),test(mem)(MiB),total_addr_space(mem)(MiB)
1362,3,50,100,50,relu,sgd,invscaling,0.001,False,0.05251015121,0.12375,0.05801022188,2597.030273,1.401367188,1507463194,962003,0.9,0.0,228.2
1363,3,50,100,50,relu,sgd,constant,0.0001,True,0.917506022,0.915,0.9143978964,2505.532227,1.374755859,1511787805,998175,0.8,0.2,227.9
1364,3,50,100,50,relu,sgd,constant,0.0001,False,0.9350403094,0.9325,0.9318266595,2518.83374,1.421875,1516924643,990858,0.6,0.4,227.9
1365,3,50,100,50,relu,sgd,adaptive,0.0001,True,0.9396962629,0.9375,0.9373367292,2495.523438,1.409423828,1517268928,982426,0.6,0.2,228.3
1366,3,50,100,50,relu,sgd,adaptive,0.0001,False,0.939877617,0.93875,0.9382607011,2502.202148,1.380126953,1515878802,957602,0.6,0.0,227.6
1367,3,50,100,50,relu,sgd,invscaling,0.0001,True,0.01965863359,0.05125,0.01982972051,2532.473877,1.373291016,1513894454,967656,0.9,0.0,228.3
1368,3,50,100,50,relu,sgd,invscaling,0.0001,False,0.03987297191,0.08,0.04047639958,2557.754883,1.395996094,1512161035,959551,0.8,0.0,228.0
1369,3,50,100,50,relu,adam,constant,0.01,True,0.9640268984,0.9625,0.9624122219,2342.94751,1.397705078,1619302363,996542,0.6,0.0,227.9
1370,3,50,100,50,relu,adam,constant,0.01,False,0.9646175323,0.96375,0.9637459369,2673.293945,1.435302734,1173750936,984613,0.9,0.0,228.4
1371,3,50,100,50,relu,adam,adaptive,0.01,True,0.9684998545,0.9675,0.967344102,2723.01709,1.400634766,1606931425,1005389,0.8,0.0,228.1
1372,3,50,100,50,relu,adam,adaptive,0.01,False,0.9646847262,0.96375,0.9637870935,2736.617188,1.393798828,1406331394,983528,0.8,0.0,228.4
1373,3,50,100,50,relu,adam,invscaling,0.01,True,0.9638085716,0.9625,0.9625540236,2483.460449,1.387939453,1381984591,995643,0.8,0.0,227.9
1374,3,50,100,50,relu,adam,invscaling,0.01,False,0.9624120955,0.96125,0.9610257664,2727.05835,1.399169922,1544586418,948524,0.8,0.0,228.1
1375,3,50,100,50,relu,adam,constant,0.001,True,0.9683986605,0.9675,0.9674911866,2720.758789,1.427734375,1433679020,984039,0.9,0.0,227.7
1376,3,50,100,50,relu,adam,constant,0.001,False,0.9652863084,0.96375,0.9636756776,2499.546875,1.401367188,1518887105,950822,0.6,0.0,228.2
1377,3,50,100,50,relu,adam,adaptive,0.001,True,0.9657924078,0.965,0.9649299127,2708.123047,1.415039063,1504124794,982941,0.6,0.2,228.5
1378,3,50,100,50,relu,adam,adaptive,0.001,False,0.9743965064,0.97375,0.9737361971,2173.022217,1.396484375,1507101806,960763,0.8,0.2,228.5
1379,3,50,100,50,relu,adam,invscaling,0.001,True,0.9649069456,0.96375,0.9634252116,2711.42627,1.391845703,1608777360,1003495,0.6,0.2,228.2
1380,3,50,100,50,relu,adam,invscaling,0.001,False,0.9640781683,0.96375,0.9635930873,2620.008545,1.396484375,1406083984,973405,0.8,0.0,228.2
1381,3,50,100,50,relu,adam,constant,0.0001,True,0.9659394258,0.965,0.9648629021,2717.875244,1.392089844,1627574157,1024376,0.8,0.0,228.2
1382,3,50,100,50,relu,adam,constant,0.0001,False,0.9622496298,0.96125,0.9610101465,2489.919678,1.429931641,1605949055,974597,0.6,0.0,227.9
1383,3,50,100,50,relu,adam,adaptive,0.0001,True,0.9719573585,0.97125,0.9711502522,2720.756836,1.421386719,1619908481,979882,0.8,0.0,228.3
1384,3,50,100,50,relu,adam,adaptive,0.0001,False,0.9617980803,0.96125,0.9610214623,2731.129395,1.395263672,1611174589,982782,0.6,0.2,228.2
1385,3,50,100,50,relu,adam,invscaling,0.0001,True,0.9676751856,0.96625,0.9661376697,2737.063477,1.421875,1604160710,977629,0.6,0.0,228.1
1386,3,50,100,50,relu,adam,invscaling,0.0001,False,0.9581572979,0.9575,0.9573808689,2728.434082,1.388427734,1609669597,945318,0.8,0.2,228.3
1387,3,50,100,50,relu,lbfgs,constant,0.01,True,0.9621322861,0.96125,0.961175546,2748.709473,3.509277344,952453877,1051753,19.5,0.0,246.2
1388,3,50,100,50,relu,lbfgs,constant,0.01,False,0.9619186937,0.96125,0.9611310867,2632.197266,3.409179688,948418676,1030366,20.4,0.0,247.4
1389,3,50,100,50,relu,lbfgs,adaptive,0.01,True,0.9593444261,0.95875,0.9586989972,2937.47998,3.51953125,943254991,1042872,19.5,0.0,246.7
1390,3,50,100,50,relu,lbfgs,adaptive,0.01,False,0.9654798728,0.965,0.9647026832,2738.064697,3.536865234,942796759,1080096,19.7,0.0,247.0
1391,3,50,100,50,relu,lbfgs,invscaling,0.01,True,0.9680421976,0.9675,0.9674211077,2947.969482,3.526611328,944965934,1045803,19.5,0.0,247.1
1392,3,50,100,50,relu,lbfgs,invscaling,0.01,False,0.9557647584,0.955,0.9547666957,2817.762451,3.453857422,1009989836,1064234,20.4,0.0,247.7
1393,3,50,100,50,relu,lbfgs,constant,0.001,True,0.9673827175,0.96625,0.9660851794,2825.400146,3.493652344,966637959,1026964,19.7,0.0,246.7
1394,3,50,100,50,relu,lbfgs,constant,0.001,False,0.960569835,0.96,0.9597672035,2896.606689,3.373291016,932831108,1043796,19.1,0.0,247.0
1395,3,50,100,50,relu,lbfgs,adaptive,0.001,True,0.9643692909,0.96375,0.9636983723,2749.802002,3.520507813,947364994,1053037,19.5,0.0,246.9
1396,3,50,100,50,relu,lbfgs,adaptive,0.001,False,0.9658402627,0.965,0.9649074172,2880.878174,3.484375,921577397,1025109,19.1,0.0,246.2
1397,3,50,100,50,relu,lbfgs,invscaling,0.001,True,0.9576565505,0.95625,0.9563834842,2747.160156,3.480957031,980299250,1031245,19.5,0.0,246.8
1398,3,50,100,50,relu,lbfgs,invscaling,0.001,False,0.9680980723,0.9675,0.967413657,2957.792969,3.548339844,919002521,998917,20.4,0.2,247.8
1399,3,50,100,50,relu,lbfgs,constant,0.0001,True,0.9681221405,0.9675,0.9673699136,2546.800293,3.423339844,987824872,1058035,19.7,0.2,246.9
1400,3,50,100,50,relu,lbfgs,constant,0.0001,False,0.9518102421,0.95,0.9497014265,2742.468994,3.422363281,983002059,1068264,19.7,0.0,246.9
1401,3,50,100,50,relu,lbfgs,adaptive,0.0001,True,0.9672196765,0.96625,0.9663078855,2773.417969,3.576171875,956389884,1042008,19.5,0.0,247.4
1402,3,50,100,50,relu,lbfgs,adaptive,0.0001,False,0.9651934344,0.965,0.9649091872,2885.227539,3.508544922,935760166,1011911,19.7,0.0,247.4
1403,3,50,100,50,relu,lbfgs,invscaling,0.0001,True,0.957038015,0.95625,0.9560064281,3094.746826,3.501464844,966892338,1010186,20.2,0.0,247.2
